Id,Price
4567,163329.96948851293
5925,129291.77977026318
960,157208.5300156706
3848,141688.67335424252
746,196710.78266230779
868,361366.32185029954
672,137335.1160452702
2471,206430.05512561754
4510,145674.4407035492
8354,257941.98569867498
6393,178423.19180360212
13270,240189.45913340047
5250,301958.2498434402
16751,163143.54892149768
11404,125463.12621280465
10588,295994.1500645564
14925,201519.0076898429
6791,226785.97971159258
16097,180307.05883844287
16428,376373.9814670109
6945,345901.54948375677
3190,188828.42545602354
15709,394392.55823273386
13155,150452.8223266683
7675,194953.7995823992
14686,231120.5576643592
609,155217.48136188733
11155,175074.8476406814
10869,212662.4198043051
15742,181662.74308953702
9245,199025.04009569125
3340,181519.93670018675
2359,272932.0512670143
8070,196149.31127268486
13707,144540.35284896338
16079,249471.47112053644
15937,285888.16338945087
14090,174979.23734936587
9008,197793.07773925507
16384,176246.67889961088
11657,237251.30430599788
13151,152824.52675488754
8990,166748.88514839287
11857,178144.85944415696
1565,158786.88457300095
8174,81745.01964067572
9247,245441.50476239898
10478,203827.6302028341
15509,149748.07645602574
8306,229261.65090925587
6642,197213.98075187695
7472,204758.32156969028
15989,141128.76280400564
13682,141810.81014254867
163,249245.73225125665
7076,180971.9491109344
7478,302295.0522798719
3029,189836.56543901513
1814,144683.0614371704
10057,125781.80238630486
15100,205776.91418652688
12694,204323.81627221976
6291,180778.87854900368
12603,190579.21345765787
3218,210921.2306245468
13456,131029.89826900886
10170,238676.09267435226
4530,192985.8945838687
13329,168102.36819250075
4820,149685.7210968306
10896,169282.2238496305
13416,112939.51827488205
2701,231627.66492440223
11265,339751.09121899185
9189,258042.90609777157
1858,188627.00822128236
14536,236787.52916936166
6199,308729.99231038644
14730,156208.21112658526
7510,235295.28082581813
15505,170959.36566771302
7446,187792.29381679924
14016,193734.2400314293
14113,110738.62233754314
8721,301558.6896264087
6193,285702.4693349526
5717,183237.33226870812
5427,300800.045125063
9520,485751.93740057567
6869,99153.0796777265
1658,160830.1833239754
6639,212796.64997397707
6283,193709.19823931105
6257,134305.4064633192
15235,183140.18228721138
902,289655.3299412617
8932,184086.64244287807
16469,344968.58115747094
2825,238664.48737780016
6450,398077.9741198371
11366,178034.09648310233
3801,350657.6875827921
11385,192880.4342516869
1079,194686.0645570847
3202,232634.2142696942
676,227196.32894840886
6185,284847.0196133131
7730,175189.04953709128
2573,172794.39357057156
10978,200248.32611710406
10962,251803.1588891871
8870,201021.78772903464
8496,183045.92087360058
5517,165189.30022303722
927,178938.52559495045
13675,185093.544822672
1499,206989.25924522945
15536,302178.9481869466
8602,361944.90253178764
12137,405446.0911888343
9865,248888.6614826037
16353,269538.48483945144
15908,197570.64062615874
3944,187642.1641851187
10359,201239.3497745016
15158,212253.75353552887
3259,246097.38200760365
7220,309283.2684932535
13843,206428.6958696069
16736,182306.9794032986
702,251234.8541508642
16401,111401.35082850512
12134,203766.3678290203
6918,236916.21518231294
11792,138919.0672186603
3798,142685.69499401678
10395,131531.1674676306
11099,161207.9930646779
7090,188101.8382143419
11260,191554.80637009142
9647,225918.17859173965
2903,357453.9651376344
2071,194899.91447173114
8604,199217.69277220173
9346,224164.26804544838
3945,213311.420339934
3420,149543.15761096476
10842,127831.69368433309
725,163512.53723998275
13931,199141.161406343
16330,228419.8060713843
9066,392867.80300474376
3326,320726.11997671623
1556,271712.95371112373
6579,96797.93994715477
13877,159644.82787298315
9857,333709.63144416135
7302,264472.78949871514
5684,184457.0989292317
6513,238783.64134840237
11342,123311.29765528465
16561,233649.77799581885
6885,191264.58003666063
9308,182406.3813551618
2559,191691.35386763382
6648,185421.33080036848
15260,167245.79618707355
5113,183925.49119822631
16492,183024.59364724738
12034,269696.52964938217
7248,223235.9281873266
2171,221358.32723972425
10594,170982.75701330483
13241,195401.28962093432
7032,143444.14329756342
4884,167708.38833666933
903,224112.09321330214
162,173966.446693656
6566,275461.4575816139
8249,150148.95538930138
13106,209366.49705852574
256,125758.86131525377
7976,170553.5621035064
8575,178550.9595655526
7591,270096.7386422467
3204,251924.91494994584
15804,169376.72946241914
1525,328080.9156056618
9038,202850.40873787945
13628,185757.14442899852
10016,195448.97613755162
10208,209136.8504597531
2008,201474.40578097233
13029,186943.33153301245
5099,128622.14655239352
9923,326341.57339852274
9461,107199.3308872172
11086,177561.61569088264
15057,257931.774516051
10689,180506.35081003892
2053,221395.9423059988
16630,168043.01101199113
4985,166183.5583613406
13881,269827.5563087414
13225,183024.59364724738
5779,62057.21373277354
10262,171926.5250497561
10762,236916.1840564541
9513,174491.26620441806
11128,168156.08830797943
2074,285757.4912260488
933,186390.7129522647
2780,173884.79061606206
6594,110530.09817405087
15394,271541.07052635815
14863,143122.44239110063
6698,219518.79249626232
1611,277233.7220255992
174,194909.50398810944
5160,252305.14698707365
3295,290814.6363684968
4559,389684.1043264306
8254,160526.0889465869
10228,99319.71988441028
